size,k,avg_rate,avg_density,avg_clustering,avg_shortest_path,avg_std_rate,avg_median_rate,avg_incomp_nodes,avg_n_comp_nodes,avg_steps
45,8,0.5955555555555556,0.08080808080808081,0.04328042328042328,3.1121212121212123,0.0,0.4,18.2,11.0,1000.0
45,9,0.5955555555555556,0.09090909090909091,0.05855379188712523,2.7767676767676766,0.0,0.35555555555555557,18.2,10.266666666666667,1000.0
55,0,0.5818181818181818,0.08552188552188553,0.10268660632296997,2.7932659932659933,0.0,0.43636363636363634,23.0,12.2,1000.0
55,1,0.6654545454545454,0.08215488215488216,0.04896103896103896,2.758922558922559,0.0,0.34545454545454546,18.400000000000002,10.666666666666666,1000.0
55,2,0.6763636363636364,0.08350168350168351,0.04855699855699856,2.731313131313131,0.0,0.3090909090909091,17.799999999999997,10.399999999999999,1000.0
55,3,0.6509090909090909,0.08350168350168351,0.12634527089072548,2.748148148148148,0.0,0.34545454545454546,19.200000000000003,11.533333333333335,1000.0
55,4,0.6218181818181818,0.08552188552188553,0.09832611832611833,2.68013468013468,0.0,0.36363636363636365,20.800000000000004,12.2,1000.0
55,5,0.6618181818181819,0.08686868686868687,0.10596221959858323,2.709090909090909,0.0,0.32727272727272727,18.6,11.333333333333332,1000.0
55,6,0.5818181818181818,0.07676767676767676,0.07095238095238096,2.9313131313131313,0.0,0.41818181818181815,23.0,12.999999999999996,1000.0
55,7,0.5963636363636364,0.08080808080808081,0.07627705627705628,2.783164983164983,0.0,0.41818181818181815,22.2,13.0,1000.0
55,8,0.6581818181818182,0.09023569023569024,0.0732034632034632,2.696969696969697,0.0,0.34545454545454546,18.799999999999997,11.066666666666666,1000.0
55,9,0.6145454545454545,0.08484848484848485,0.036709956709956706,2.727946127946128,0.0,0.38181818181818183,21.2,12.933333333333332,1000.0
65,0,0.6830769230769231,0.0798076923076923,0.07335775335775334,2.691346153846154,0.0,0.3230769230769231,20.6,12.666666666666666,1000.0
65,1,0.6738461538461538,0.08076923076923077,0.0652003552003552,2.644230769230769,0.0,0.3076923076923077,21.200000000000003,11.266666666666666,1000.0
65,2,0.6553846153846153,0.07355769230769231,0.061794871794871795,2.81875,0.0,0.35384615384615387,22.400000000000002,13.4,1000.0
65,3,0.6707692307692308,0.08173076923076923,0.10163392163392164,2.6355769230769233,0.0,0.3230769230769231,21.4,11.6,1000.0
65,4,0.683076923076923,0.08173076923076923,0.08662892662892661,2.639423076923077,0.0,0.3076923076923077,20.600000000000005,11.333333333333332,1000.0
65,5,0.6523076923076923,0.07788461538461539,0.10299145299145296,2.7245192307692307,0.0,0.3230769230769231,22.6,13.066666666666666,1000.0
65,6,0.6676923076923076,0.07163461538461538,0.07401598401598401,2.797596153846154,0.0,0.3384615384615385,21.600000000000005,13.6,1000.0
65,7,0.7353846153846153,0.08605769230769231,0.10993613224382455,2.585576923076923,0.0,0.24615384615384617,17.200000000000003,9.466666666666665,1000.0
65,8,0.6923076923076923,0.0798076923076923,0.04727716727716727,2.7201923076923076,0.0,0.3076923076923077,20.0,11.133333333333331,1000.0
65,9,0.676923076923077,0.07932692307692307,0.09634920634920636,2.7322115384615384,0.0,0.3230769230769231,21.0,11.866666666666664,1000.0
75,0,0.7173333333333334,0.07423423423423424,0.07081673881673883,2.671351351351351,0.0,0.28,21.199999999999996,12.399999999999999,1000.0
75,1,0.7146666666666667,0.07855855855855856,0.059773929773929785,2.5945945945945947,0.0,0.30666666666666664,21.4,12.8,1000.0
75,2,0.7146666666666667,0.07783783783783783,0.0872275132275132,2.63027027027027,0.0,0.26666666666666666,21.4,11.866666666666665,1000.0
75,3,0.6853333333333333,0.07711711711711712,0.05243171643171643,2.6194594594594593,0.0,0.3333333333333333,23.599999999999998,12.666666666666666,1000.0
75,4,0.6719999999999999,0.06918918918918919,0.11018389018389017,2.7816216216216216,0.0,0.32,24.6,12.733333333333333,1000.0
75,5,0.7013333333333334,0.07243243243243243,0.04825012025012025,2.716036036036036,0.0,0.30666666666666664,22.400000000000002,12.8,1000.0
75,6,0.6426666666666667,0.06882882882882883,0.04292833092833093,2.799279279279279,0.0,0.36,26.8,14.8,1000.0
75,7,0.7013333333333334,0.07243243243243243,0.0694074074074074,2.694774774774775,0.0,0.32,22.400000000000002,12.466666666666665,1000.0
75,8,0.6586666666666667,0.0727927927927928,0.059415103415103435,2.6936936936936937,0.0,0.3333333333333333,25.599999999999998,14.666666666666666,1000.0
75,9,0.7066666666666667,0.07495495495495495,0.08313730713730713,2.6695495495495494,0.0,0.28,22.0,12.733333333333333,1000.0
85,0,0.7341176470588235,0.07450980392156863,0.06270650917709741,2.5913165266106444,0.0,0.27058823529411763,22.599999999999998,13.066666666666666,1000.0
85,1,0.7694117647058824,0.07282913165266107,0.058671720436426295,2.6170868347338936,0.0,0.2235294117647059,19.6,10.466666666666665,1000.0
85,2,0.6588235294117647,0.06638655462184874,0.04714710126474833,2.7,0.0,0.3411764705882353,29.0,17.066666666666666,1000.0
85,3,0.7129411764705882,0.06638655462184874,0.0877879636703166,2.724089635854342,0.0,0.2823529411764706,24.4,14.0,1000.0
85,4,0.7247058823529412,0.07198879551820728,0.08260354025059904,2.6523809523809523,0.0,0.27058823529411763,23.4,12.933333333333332,1000.0
85,5,0.7717647058823529,0.07170868347338935,0.07324662265838736,2.653221288515406,0.0,0.23529411764705882,19.4,10.2,1000.0
85,6,0.6823529411764706,0.06610644257703081,0.0656548680078092,2.7641456582633053,0.0,0.3058823529411765,27.000000000000004,16.06666666666667,1000.0
85,7,0.6752941176470588,0.06750700280112044,0.06982938629997451,2.7518207282913165,0.0,0.32941176470588235,27.6,15.066666666666666,1000.0
