size,k,ave_rate,ave_density,ave_clustering,ave_shortest_path,ave_std_rate,ave_median_rate
14,6,1.0,0.4615384615384615,0.5999999999999999,1.6153846153846154,0.0,0.0

15,6,0.9984000000000001,0.42857142857142855,0.5999999999999999,1.7142857142857142,0.0036660605559646754,0.0

16,6,1.0,0.4000000000000001,0.5999999999999999,1.8,0.0,0.0

17,6,0.9996,0.375,0.5999999999999999,1.875,0.0019595917942265445,0.0

18,6,0.9996,0.35294117647058826,0.5999999999999999,1.941176470588235,0.0019595917942265445,0.0

19,6,0.9996,0.33333333333333337,0.5999999999999999,2.0,0.0019595917942265445,0.0

20,6,0.9996,0.3157894736842105,0.5999999999999999,2.105263157894737,0.0019595917942265445,0.0

