gameId,size,#solutions,ave_rate,sd_rate
222,20,45216,0.336,0.060033324079214544
223,20,162960,0.3760000000000001,0.08469946871143881
224,20,78048,0.3405,0.05417333292312742
225,20,9504,0.2565,0.04339066719929528
226,20,15216,0.2695,0.07207461411620598
227,20,60312,0.314,0.111597491011223
228,20,46488,0.2815,0.08266045003506817
229,20,21888,0.259,0.0813572369245662
230,20,28944,0.34,0.07314369419163898
231,20,46728,0.277,0.09418598621875764
232,20,83808,0.38300000000000006,0.09930256794262675
233,20,10080,0.31,0.06782329983125268
234,20,127680,0.35600000000000004,0.08404760555780279
235,20,49248,0.2605,0.07255859700958943
236,20,23232,0.324,0.06945502141674136
237,20,3456,0.26099999999999995,0.04928488612140642
238,20,84672,0.3449999999999999,0.07365459931328118
239,20,14976,0.278,0.04760252094164761
240,20,39936,0.318,0.08874683092933518
241,20,60528,0.28300000000000003,0.07321885003194191
242,20,1344,0.302,0.07480641683706019
243,20,29376,0.37800000000000006,0.07658981655546644
244,20,15936,0.3425,0.08317902379807061
245,20,40560,0.24899999999999994,0.07549172140042906
246,20,65664,0.368,0.08559205570612263
247,20,12528,0.27999999999999997,0.07106335201775947
248,20,13824,0.31850000000000006,0.052751777221246285
249,20,39168,0.321,0.0667757440991862
250,20,36576,0.38750000000000007,0.060156047077579836
251,20,47808,0.33449999999999996,0.07024777576550022
252,20,139584,0.4130000000000001,0.07701298591796062
253,20,9408,0.24600000000000002,0.06952697318307478
254,20,12384,0.30950000000000005,0.08476290462224616
255,20,2880,0.309,0.049183330509431744
256,20,25344,0.3399999999999999,0.08093207028119324
257,20,48576,0.35900000000000004,0.07758221445666526
258,20,263136,0.379,0.09115371632577579
259,20,110016,0.39,0.06633249580710801
260,20,38112,0.35050000000000003,0.10012367352429695
261,20,13824,0.314,0.06598484674529448
262,20,167520,0.4159999999999999,0.08912911982062878
263,20,17280,0.348,0.0499599839871872
264,20,10272,0.233,0.07321885003194191
265,20,41472,0.4150000000000001,0.07399324293474373
266,20,7200,0.2885,0.06739992581598292
267,20,79488,0.284,0.06398437309218556
268,20,36576,0.30800000000000005,0.054644304369257005
269,20,359856,0.4115,0.11221742288967433
270,20,18576,0.3005,0.07193573520858738
271,20,99024,0.37549999999999994,0.08169914320236167
272,20,31968,0.33899999999999997,0.05028916384272063
273,20,64800,0.34900000000000003,0.08123422923866516
274,20,15168,0.18849999999999997,0.08362266439189797
275,20,47136,0.33599999999999997,0.071442284397967
276,20,89856,0.45750000000000013,0.056734028589551073
277,20,114432,0.33349999999999996,0.08338315177540365
278,20,46344,0.311,0.06692533152700851
279,20,48384,0.3390000000000001,0.07732399368889324
280,20,51120,0.366,0.08511169132381287
281,20,134208,0.3945,0.06320403468133978
282,20,5832,0.245,0.05852349955359812
283,20,35712,0.31,0.099498743710662
284,20,16992,0.2615,0.07643788327786163
285,20,6720,0.31499999999999995,0.05545268253204708
286,20,33984,0.275,0.06422616289332564
287,20,24192,0.32899999999999996,0.07455870170543476
288,20,22704,0.21900000000000003,0.07027801932325639
289,20,9504,0.272,0.061367743970265023
290,20,31392,0.28099999999999997,0.06549045732013176
291,20,37248,0.33899999999999997,0.0887637313321156
292,20,5184,0.251,0.05957348403442592
293,20,18816,0.23749999999999996,0.061796035471541375
294,20,37728,0.322,0.07884161337770809
295,20,29424,0.23800000000000004,0.09927738916792685
296,20,39072,0.2935,0.05641586656251945
297,20,4992,0.254,0.06916646586316233
298,20,22440,0.24849999999999997,0.07465085398037988
299,20,8640,0.2985,0.054979541649599076
300,20,13056,0.321,0.07147726911403372
301,20,82176,0.3435,0.09582666643476648
302,20,8640,0.2985,0.0572079539924301
303,20,16512,0.3389999999999999,0.05940538696111659
304,20,33600,0.30200000000000005,0.06554387843269575
305,20,11232,0.289,0.061878914017619926
306,20,39312,0.35150000000000015,0.05807538204781782
307,20,576,0.29600000000000004,0.08737276463521111
308,20,36288,0.33799999999999997,0.09222797840135064
309,20,37440,0.285,0.06020797289396146
310,20,5328,0.256,0.04374928570845472
311,20,144096,0.44250000000000006,0.08584142356694699
312,20,5040,0.21449999999999997,0.05352335938634645
313,20,70272,0.3990000000000001,0.05611595138639281
314,20,21432,0.2965,0.08039123086506388
315,20,90432,0.3245,0.10356036886763198
